cust,monthly_bill,qty,size,weekly_yards,commodity,pickups,bin_amount,tax_body,biz_type
10071,3322.57,1,4,4,Recycle,1,840.85,COUNTY,WINERY
10071,3322.57,1,4,4,Compost,1,762.37,COUNTY,WINERY
10071,3322.57,1,6,6,Recycle,1,75,COUNTY,WINERY
10076,1898.55,1,4,8,Garbage,2,1706.1,COUNTY,LODGING-FW
10076,1898.55,1,4,8,Garbage,2,1706.1,COUNTY,LODGING-FW
10076,1898.55,1,0.48,0.48,Recycle,1,0,COUNTY,LODGING-FW
10076,1898.55,1,0.48,0.48,Recycle,1,0,COUNTY,LODGING-FW
10076,1898.55,1,0.48,0.48,Recycle,1,0,COUNTY,LODGING-FW
10076,1898.55,1,0.48,0.48,Recycle,1,100.93,COUNTY,LODGING-FW
10076,1898.55,1,0.48,0.48,Compost,1,0,COUNTY,LODGING-FW
10076,1898.55,1,0.48,0.48,Compost,1,91.52,COUNTY,LODGING-FW
10082,303.72,1,0.48,0.48,Recycle,1,0,Y,MULTIFAMIL
10082,303.72,2,0.48,0.96,Recycle,1,0,Y,MULTIFAMIL
10083,1558.21,1,4,4,Garbage,1,890.4,COUNTY,UTILITY
10083,1558.21,1,4,4,Recycle,1,667.81,COUNTY,UTILITY
10083,1558.21,3,0.48,1.44,Recycle,1,0,COUNTY,UTILITY
10103,428.24,1,2,2,Garbage,1,428.24,C,MULTIFAMIL
10103,428.24,1,0.48,0.48,Recycle,1,0,C,MULTIFAMIL
10103,428.24,1,0.48,0.48,Recycle,1,0,C,MULTIFAMIL
10106,1791.03,1,4,8,Garbage,2,1563.03,C,LODGING
10106,1791.03,1,4,8,Garbage,2,1563.03,C,LODGING
10106,1791.03,1,0.48,0.48,Recycle,1,0,C,LODGING
10106,1791.03,1,0.48,0.48,Recycle,1,0,C,LODGING
10106,1791.03,1,0.48,0.48,Recycle,1,0,C,LODGING
10106,1791.03,1,0.48,0.48,Recycle,1,76,C,LODGING
10106,1791.03,1,0.48,0.48,Recycle,1,76,C,LODGING
10106,1791.03,1,0.48,0.48,Recycle,1,76,C,LODGING
10106,1791.03,1,0.48,0.48,Compost,1,0,C,LODGING
10112,202.48,1,0.48,0.48,Recycle,1,0,Y,CHURCH
10112,202.48,3,0.48,1.44,Compost,1,0,Y,CHURCH
10139,1511.27,1,4,4,Garbage,1,668.93,S,STRIP MALL
10139,1511.27,1,4,4,Garbage,1,668.93,S,STRIP MALL
10139,1511.27,6,0.48,2.88,Recycle,1,0,S,STRIP MALL
10139,1511.27,1,0.48,0.48,Recycle,1,73.41,S,STRIP MALL
10139,1511.27,1,0.48,0.48,Compost,1,0,S,STRIP MALL
10144,608.04,3,0.48,1.44,Recycle,1,0,C,MULTIFAMIL
10144,608.04,3,0.48,1.44,Recycle,1,0,C,MULTIFAMIL
10144,608.04,3,0.48,1.44,Compost,1,0,C,MULTIFAMIL
