CO,CUST#,TAX BODY,CYCLE,MTH$,BAL DUE,UNAPPLIED,CURRENT,30+,60+,90+,V3  BIZ TYPE,V4  SB1383,MTD,YTD,SALES ID,START DT,STOP DT,BILLING STR DT,ACT CD,FEE CODE,PRICE LIST,CREDIT LIMIT
1,22954,YC    ,CA,134.57,134.57,,134.57,0,0,0,,,0,1222.82,,8/21/2017,,,,,CO,
1,22987,S     ,CA,637,637,,637,0,0,0,,,0,5830.36,,9/7/2017,,,,,S,
1,22996,YC    ,CA,1448.25,2918.22,,1469.97,1448.25,0,0,,,0,12418.8,,8/28/2017,,8/28/2017,,,CO,
1,23038,YC    ,PA,0,4966.71,,4966.71,0,0,0,,,0,25792.72,,8/28/2017,,8/28/2017,,,CO,
1,23062,S     ,CA,668.93,668.93,,668.93,0,0,0,,,0,6078.5,,1/29/1997,,1/29/1997,,,S,
1,23070,S     ,CA,2238.2,2418.2,,2418.2,0,0,0,,,45,15251.74,,5/4/2021,,,,,S,
1,23094,S     ,CA,363.91,741.12,,369.37,371.75,0,0,,,0,3516.97,,5/31/2002,,5/31/2002,,,S,
1,23114,S     ,CA,97.87,97.87,,97.87,0,0,0,,,0,889.36,,10/3/2017,,,,,S,
1,23142,YC    ,CA,269.14,0,,0,0,0,0,,,0,2445.64,,9/14/2017,,9/14/2017,,,CO,
1,23161,YC    ,CA,280.35,0,,0,0,0,0,,,0,1387.12,,9/25/2017,,9/25/2017,,,CO,
1,23214,CC    ,CA,89.71,0,,0,0,0,0,,,0,815.2,,9/28/2017,,,,,CO,
1,23233,YC    ,TA,0,17297.36,,17297.36,0,0,0,,,916.62,17030.94,,9/28/2017,,9/28/2017,,,CO,
1,23276,C     ,CA,311.79,311.79,,311.79,0,0,0,,,0,2724.7,,10/4/2017,,,,,C,
1,23489,C     ,CA,813.98,0,,0,0,0,0,LODGING,,0,7598.24,,4/28/1997,,4/28/1997,,,C,
1,23504,S     ,CA,97.87,0,,0,0,0,0,,,0,889.36,,4/29/1997,,4/29/1997,,,S,
1,23551,S     ,CA,65.25,65.25,,65.25,0,0,0,,,0,592.92,,5/6/1997,,5/6/1997,,,S,
1,23553,S     ,CA,1048.95,1048.95,,1048.95,0,0,0,,,0,9150.18,,5/12/1997,,5/12/1997,,,S,
1,23722,YC    ,CA,1558.21,1558.21,,1558.21,0,0,0,,,0,14843.79,,8/26/2005,,8/26/2005,,,CO,
1,23783,C     ,CA,439.46,439.46,,439.46,0,0,0,,,0,4072.78,,1/4/2018,,,,,C,
1,23821,C     ,CA,415.72,0,,0,0,0,0,LODGING-FW,,0,3736.86,,6/26/1997,,6/26/1997,,,C,
1,23899,S     ,CA,32.62,0,,0,0,0,0,,,0,309.02,,2/6/2018,,2/6/2018,,,S,
1,23901,SC    ,CA,1193.19,1990.64,,1193.19,797.45,0,0,,,0,10446.68,,7/9/1997,,7/9/1997,,,CO,
1,23968,C     ,CA,69.28,0,,0,0,0,0,,,0,629.56,,4/5/2018,,,,,C,
1,23998,S     ,CA,668.93,668.93,,668.93,0,0,0,,,0,6087.01,,7/29/1997,,,,,S,
1,23999,SC    ,CA,482.56,0,,0,0,0,0,,,0,6325.85,,8/1/1997,,,,,CO,
1,24011,C     ,CA,34.64,0,,0,0,0,0,,,0,314.78,,3/1/2018,,,,,C,
1,24016,CC    ,CA,522.56,486.62,,486.62,0,0,0,,,0,5734.28,,10/3/2019,,7/31/1997,,,CO,
1,24062,SC    ,TA,0,0,,0,0,0,0,,,0,1906.96,,3/1/2018,,3/1/2018,,,CO,
1,24074,CL    ,CA,101.34,0,,0,0,0,0,,,0,920.88,,3/22/2018,,,,,CL,
1,24111,YC    ,TA,0,335.25,,335.25,0,0,0,,,0,10937.06,,3/20/2018,,3/20/2018,,,CO,
1,24112,YC    ,CA,5826.14,5826.14,,5826.14,0,0,0,,,0,50845.93,,3/19/2018,,3/19/2018,,,CO,
1,24125,C     ,CA,34.64,34.64,,34.64,0,0,0,,,0,314.78,,3/22/2018,,,,,C,
1,24144,S     ,CA,97.87,198.58,,99.34,99.24,0,0,UTILITY,,0,290.01,,8/3/2021,,8/3/2021,,,S,
1,24151,S     ,CA,32.62,32.62,,32.62,0,0,0,,,0,297.44,,4/3/2018,,,,,S,
1,24255,S     ,CA,97.87,0,,0,0,0,0,,,0,889.36,,9/9/1997,,,,,S,
1,24285,Y     ,CA,404.96,404.96,,404.96,0,0,0,,,0,3684.91,,9/15/1997,,9/15/1997,,,Y,
1,24294,S     ,CA,97.87,197.21,,99.34,97.87,0,0,,,0,892.07,,9/16/1997,,,,,S,
1,24340,YC    ,CA,89.71,89.71,,89.71,0,0,0,,,0,816.34,,4/20/2018,,,,,CO,
1,24389,S     ,CA,130.48,130.48,,130.48,0,0,0,,,0,1162.64,,9/30/1997,,9/30/1997,,,S,
1,24417,Y     ,CA,67.49,0,,0,0,0,0,,,0,613.28,,10/6/1997,,,,,Y,
1,24427,S     ,CA,97.87,63.72,,63.72,0,0,0,,,0,934.16,,5/15/2018,,5/15/2018,,,S,
1,24429,S     ,CA,179.44,332.64,,332.64,0,0,0,,,0,1182.02,,6/1/2021,,6/1/2021,,,S,
1,24501,S     ,CA,0,2,,0,0,0,2,,,0,0,,11/1/2011,,11/1/2011,,,S,
1,24545,YC    ,CA,235.5,0,,0,0,0,0,,,0,2139.96,,5/23/2018,,5/23/2018,,,CO,
1,24594,S     ,CA,363.91,357.91,,357.91,0,0,0,,,0,3497.08,,6/1/2018,,6/1/2018,,,S,
1,24612,YC    ,CA,370.06,0,,0,0,0,0,,,0,2921.62,,6/11/2018,,,,,CO,
1,24664,YC    ,CA,1150.37,1150.37,,1150.37,0,0,0,WINERY,,0,10833.8,,11/17/1997,,11/17/1997,,,CO,
1,24695,S     ,CA,391.48,0,,0,0,0,0,,,0,3562.42,,6/12/2018,,6/12/2018,,,S,
1,24726,S     ,MA,0,0,,0,0,0,0,,,0,0,,6/14/2018,7/8/2019,6/14/2018,,,S,
1,24806,YC    ,CA,179.42,0,,0,0,0,0,,,0,806.16,,6/14/2021,,6/14/2021,,,CO,
1,24821,C     ,CA,276.77,0,,0,0,0,0,,,0,2514.92,,7/5/2018,,7/5/2018,,,C,
1,24888,C     ,CA,103.93,103.93,,103.93,0,0,0,,,0,944.38,,1/8/1998,,1/8/1998,,,C,
1,24912,S     ,CA,363.91,363.91,,363.91,0,0,0,,,0,3306.82,,1/19/1998,,1/19/1998,,,S,
1,24997,PV    ,MA,60.98,0,,0,0,0,0,,,0,310.2,,2/6/1998,,2/6/1998,,,PV,
1,25040,Y     ,CA,1655.3,1835.3,,1835.3,0,0,0,,,0,14450.95,,3/4/1964,,3/4/1964,,,Y,
1,25063,YC    ,TA,0,2951.01,,2951.01,0,0,0,,,0,29296.21,,7/24/2018,,,,,CO,
1,25150,YC    ,TA,0,268.2,,268.2,0,0,0,,,0,4452.75,,8/2/2018,,,,,CO,
1,25218,S     ,CA,65.25,0,,0,0,0,0,,,0,593.75,,3/31/1998,,,,,S,
1,25219,S     ,MA,97.87,0,,0,0,0,0,,,0,502.84,,4/21/1998,,4/21/1998,,,S,
1,25255,C     ,CA,1627.98,1627.98,,1627.98,0,0,0,MULTIFAMIL,,0,15514.75,,8/23/2018,,8/23/2018,,,C,
1,25290,AC    ,CA,482.56,482.56,,482.56,0,0,0,,,0,4384.96,,11/3/2004,,11/3/2004,,,CO,
1,25303,SC    ,CA,0,1456.44,,1456.44,0,0,0,,,0,13298.44,,4/24/1998,,4/24/1998,,,CO,
1,25305,YC    ,CA,7715.66,7865.66,,7865.66,0,0,0,,,0,69116.96,,8/24/2018,,8/24/2018,,,CO,
1,25342,YC    ,CA,538.28,538.3,,538.28,0.02,0,0,,,0,4891.28,,9/17/2018,,9/17/2018,,,CO,
1,25348,YC    ,CA,134.57,134.57,,134.57,0,0,0,,,0,1222.82,,9/3/2018,,,,,CO,
1,25434,S     ,CA,65.25,122.23,,66.08,56.15,0,0,,,0,597.9,,9/25/2019,,,,,S,
1,25450,CC    ,CA,1150.37,1150.37,,1150.37,0,0,0,,,0,10849.38,,9/20/2018,,9/20/2018,,,CO,
1,25499,Y     ,CA,2947.79,2947.79,,2947.79,0,0,0,,,0,32573.86,,9/28/2018,,9/28/2018,,,Y,
1,25526,Y     ,CA,2826.95,2916.95,,2916.95,0,0,0,,,0,25095.23,,6/15/1998,,6/15/1998,,,Y,
1,25574,YC    ,CN,39.84,39.84,,39.84,0,0,0,,,0,390.96,,10/4/2018,,,,,CO,
1,25581,S     ,CA,1154.98,1289.98,,1289.98,0,0,0,,,45,10824.48,,10/5/2018,,,,,S,
1,25812,YC    ,TA,0,0,,0,0,0,0,,,0,0,,5/10/2016,,5/10/2016,,,CO,
1,25832,S     ,CA,97.87,0,,0,0,0,0,,,0,889.36,,11/20/2018,,11/20/2018,,,S,
1,25850,CC    ,CA,134.57,0,,0,0,0,0,,,0,1222.82,,12/6/2018,,,,,CO,
1,25856,C     ,CA,963.98,1053.98,,1053.98,0,0,0,,,0,8373.2,,7/27/1998,,,,,C,
1,25886,S     ,CA,32.62,32.62,,32.62,0,0,0,,,0,296.44,,12/4/2018,,,,,S,
1,25899,YC    ,CA,557.56,1123.48,,565.92,557.56,0,0,,,0,4905.48,,8/3/1998,,8/3/1998,,,CO,
1,25969,Y     ,CA,3536.24,3536.24,,3536.24,0,0,0,RESTAURANT,,0,26806.16,,12/12/2018,,12/12/2018,,,Y,
1,26052,C     ,CA,519.65,55,,55,0,0,0,LODGING-FW,,55,5794.1,,1/17/2019,,1/17/2019,,,C,
1,26096,S     ,PA,0,5951.97,,5951.97,0,0,0,,,0,45746.32,,9/11/1998,,9/11/1998,,,S,
1,26133,YC    ,CA,3820.33,1031.08,,1031.08,0,0,0,,,10,29562.23,,1/9/2019,,1/9/2019,,,CO,
1,26213,S     ,CA,438.91,0,,0,0,0,0,,,0,3606.82,,9/15/1998,,,,,S,
1,26277,C     ,CA,179.93,-179.93,,-179.93,0,0,0,,,0,1739.74,,2/21/2019,,2/21/2019,,,C,
1,26329,S     ,CA,195.74,195.74,,195.74,0,0,0,,,0,1778.72,,10/6/1998,,,,,S,
1,26397,YC    ,PA,0,2187.24,,2187.24,0,0,0,,,0,6851.83,,10/15/2003,,10/15/2003,,,CO,
1,26399,SC    ,CA,2406.06,4364.27,,2508.89,1855.38,0,0,,,0,13163.42,,3/6/2019,,3/6/2019,,,CO,
1,26422,Y     ,CA,4689.02,4902.65,,4902.65,0,0,0,,,0,31700.43,,10/19/1998,,10/19/1998,,,Y,
1,26479,S     ,CA,97.87,0,,0,0,0,0,,,0,889.36,,3/26/2019,,3/26/2019,,,S,
