cust,monthly_bill,cycle,qty,size,commodity,pickups,bin_amount,tax_body,biz_type
11920,2596.5,CA,1,0.48,Recycle,1,0,COUNTY,MEDICAL
11920,2596.5,CA,1,0.48,Recycle,1,0,COUNTY,MEDICAL
11920,2596.5,CA,1,0.48,Recycle,1,0,COUNTY,MEDICAL
11920,2596.5,CA,1,0.48,Recycle,1,0,COUNTY,MEDICAL
11931,0,CA,1,2,"",0,0,COUNTY,WINERY
11956,65.25,CA,1,0.32,Garbage,1,65.25,S,RETAIL
11956,65.25,CA,1,0.48,Recycle,1,0,S,RETAIL
11972,2348.22,CA,1,4,Garbage,1,799.35,Y,HOA
11972,2348.22,CA,1,4,Garbage,1,799.35,Y,HOA
11972,2348.22,CA,2,PU,"",1,50,Y,HOA
11972,2348.22,CA,1,4,Recycle,1,751.37,Y,HOA
11972,2348.22,CA,1,PU,"",1,50,Y,HOA
11994,506.7,CA,5,0.48,Garbage,1,101.34,C,MULTIFAMIL
11994,506.7,CA,2,0.48,Recycle,1,0,C,MULTIFAMIL
11994,506.7,CA,1,0.48,Recycle,1,0,C,MULTIFAMIL
11994,506.7,CA,1,0.48,Recycle,1,0,C,MULTIFAMIL
11994,506.7,CA,1,0.48,Compost,1,0,C,MULTIFAMIL
12074,103.93,CA,1,0.48,Garbage,1,103.93,C,UTILITY
12074,103.93,CA,1,0.48,Recycle,1,0,C,UTILITY
12074,103.93,CA,1,0.48,Compost,1,0,C,UTILITY
12099,97.87,CA,1,0.48,Garbage,1,97.87,S,DELI/CAFE
12099,97.87,CA,1,0.48,Recycle,1,0,S,DELI/CAFE
12171,743.93,CA,1,4,Garbage,1,668.93,S,CATERING
12171,743.93,CA,1,0.48,Recycle,1,0,S,CATERING
12171,743.93,CA,1,0.48,Recycle,1,0,S,CATERING
12171,743.93,CA,4,0.32,Compost,3,0,S,CATERING
12171,743.93,CA,4,0.32,Compost,3,0,S,CATERING
